mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	staff_text	tempo	qpm	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur
9	9	65/2	65/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	137										
9	9	131/4	131/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	138										
9	9	33	33	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	139										
9	9	67/2	67/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	140										
9	9	34	34	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	141										
9	9	69/2	69/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16	1/16	1	142										
9	9	139/4	139/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	143	--									
9	9	35	35	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	144										
9	9	71/2	71/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	145	bis,									
9	9	32	32	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	146										
9	9	65/2	65/2	0.25	1/8	1/8	Chord	4/4	3	1	1/16	1/16	1	147										
9	9	131/4	131/4	0.25	3/16	3/16	Chord	4/4	3	1	1/16	1/16	1	148										
9	9	33	33	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	149										
9	9	67/2	67/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	150										
9	9	34	34	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	151										
9	9	69/2	69/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	152										
9	9	35	35	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	153										
9	9	71/2	71/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	154										
9	9	32	32	0.5	0	0	Chord	4/4	5	1	1/8	1/8	1	155										
9	9	65/2	65/2	0.25	1/8	1/8	Chord	4/4	5	1	1/16	1/16	1	156										
9	9	131/4	131/4	0.25	3/16	3/16	Chord	4/4	5	1	1/16	1/16	1	157										
9	9	33	33	0.5	1/4	1/4	Chord	4/4	5	1	1/8	1/8	1	158										
9	9	67/2	67/2	0.5	3/8	3/8	Chord	4/4	5	1	1/8	1/8	1	159										
9	9	34	34	0.5	1/2	1/2	Chord	4/4	5	1	1/8	1/8	1	160										
9	9	69/2	69/2	0.5	5/8	5/8	Chord	4/4	5	1	1/8	1/8	1	161										
9	9	35	35	0.5	3/4	3/4	Chord	4/4	5	1	1/8	1/8	1	162										
9	9	71/2	71/2	0.5	7/8	7/8	Chord	4/4	5	1	1/8	1/8	1	163										
10	10	38	38	0.75	1/2	1/2	Chord	4/4	1	1	3/16	1/8	3/2	164	e-									
10	10	155/4	155/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	165										
10	10	39	39	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	166	-tiam									
10	10	79/2	79/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	167	pro									
10	10	36	36	0.75	0	0	Chord	4/4	2	1	3/16	1/8	3/2	168	e-									
10	10	147/4	147/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	169	-ti-									
10	10	37	37	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	170	-am									
10	10	75/2	75/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	171	pro									
10	10	38	38	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	172	no-									
10	10	77/2	77/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	173										
10	10	39	39	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	174										
10	10	79/2	79/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	175										
10	10	159/4	159/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	176	---									
10	10	36	36	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	177										
10	10	73/2	73/2	1.0	1/8	1/8	Chord	4/4	3	1	1/4	1/4	1	178										
10	10	75/2	75/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	179										
10	10	38	38	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	180										
10	10	39	39	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	181	-bis.									
10	10	36	36	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	182	Cru-									
10	10	38	38	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	183	-ci-									
10	10	36	36	2.0	0	0	Chord	4/4	5	1	1/2	1/2	1	184										
10	10	38	38	2.0	1/2	1/2	Chord	4/4	5	1	1/2	1/2	1	185										
11	11	40	40	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	186	no									
11	11	81/2	81/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	187										
11	11	163/4	163/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	188										
11	11	41	41	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	189										
11	11	83/2	83/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	190										
11	11	42	42	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	191										
11	11	85/2	85/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	192										
11	11	171/4	171/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	193										
11	11	43	43	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	194										
11	11	87/2	87/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	195										
11	11	40	40	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	196										
11	11	81/2	81/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	197										
11	11	41	41	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	198										
11	11	83/2	83/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16	1/16	1	199	---									
11	11	167/4	167/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	200										
11	11	42	42	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	201										
11	11	85/2	85/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	202										
